content,label
【抖音点赞赚钱】您好，我们提供网红助力服务。邀请您加入QQ群：XXXXXXX ，下载“美ONE”APP做任务赚取红包！轻松简单易操作哦~ 详情请咨询客服人员了解更多细节和要求。（注:本活动真实有效）,5
“您好，感谢您近期多次使用顺丰。为了回馈您的支持与信任，我们邀请加支付宝好友并登记信息送暖风扇1个！请点击链接下载APP领取福利A。”,5
短信内容为：你好，你买的东西已经发到锐杰那里了。请联系他并查看物品是否正确无误后再签收哦！我已将他的联系方式添加到了你的手机通讯录中啦～,5
【抖音工作人员提醒】您好，我们发现您的账号活跃度很高。为了回馈您对平台的支持与热爱，特邀请加入我们的兼职项目组.请点击链接下载抖吧APP并添加QQ群XXXXXX进行详细了解和安排任务。[网址],5
【陌生人】你好，我在xx平台发现你注册了账号。我们推荐了一些好友给你哦！我发张照片先聊聊？不过要成为VIP会员才能享受更多功能呢～见面聊天也可以考虑一下呀~,5
【抖音合作平台】您好，我们是谷麦嘉禾APP团队。我们注意到您经常使用短视频应用并关注点赞了很多内容！为了回馈您的热情参与和支持， 我们现在提供一份特别的返利机会给您下载我们的app进行操作哦~ 详情请点击链接查看：[网址],5
【中国电商联盟】您好，我们有个点赞任务给您。请您下载一个APP并加入“E19助力作业群”，每天在群里完成赞和做任务的组合操作即可获得收益！为了更多奖励您还可以进入我们的“夺宝福利”领更多的每日固定名额的任务哦~如有错误数据请及时联系客服升级处理,5
【特大喜讯！】尊敬的用户，我们正在举办一场盛大的活动并赠送丰厚礼品。您已被选中成为幸运儿之一哦~ 请您添加微信：[xxxxxx]，加入我们的专属福利群。[邻商科技]APP下载链接：xxxxxxxxxxx（内有更多惊喜任务等你来挑）。机不可失时不再来啊亲～,5
【重要通知】您好，我是XX银行工作人员。您的银行卡近期涉及一笔20万的转账异常操作需要您配合调查处理一下。【提供流水记录证明清白】，请您在3小时内将19万转入我行指定账户XXXXXXX并提供打款截图作为凭证即可解除限制否则后果自负！,5
【韵达快递】您的包裹已超签收8次，复制口令到支付宝添加好友可领取冰箱一台。请使用您常用的那个支付软件搜索并加对方为友哦！注意：对方的账户和姓名都是隐藏的看不到哈～对了亲，再给您发个链接下载“栖见APP”注册登录后即可完成活动参与了!,5
