content,label
你好！我是你的新朋友，想和你交友。请点击链接下载APP并注册账号。期待和你一起度过美好时光！,6
您好！我们是口口APP客服小王。感谢您下载口口APP。为了保障您的安全，我们需要您完成三个任务以便我们与您进行同城约会。任务完成后，您将获得返利。请您放心，我们将确保您的隐私安全。请您尽快完成任务。谢谢！,6
您好！我是您的朋友小李。我最近在股票市场上遇到了一些问题，需要您的帮助。我想请您帮忙投资一些股票，投资金额是81000元。请您尽快将钱转到我的账户上。谢谢！,6
你好！我是你的导师，我可以帮你赚钱！只需下载APP并注册，完成任务即可。任务包括接待给你银行卡号，并按照提示操作。完成任务后平台会给你返现。快来试试吧！,6
尊敬的客户，您好！我们是一家正规的上门服务平台，我们可以为您提供高品质的服务。我们需要您先充值会员，然后我们会安排专业的小姐为您提供服务。请您尽快充值会员，我们会为您提供最好的服务。谢谢！,6
尊敬的用户，您好！我们是一家提供高质量女性交友服务的平台。我们通过您的QQ好友推送下载了我们的APP，并引导您完成三次充值任务后，您可以享受同城女性信息的服务。感谢您的支持！,6
你好！我是邂逅APP客服。欢迎你加入邂逅社群！为了激活你的账户，我们需要你成为我们的会员。请先支付300元，激活你的账户。谢谢！",6
亲爱的语，最近我有个急事需要用钱，能帮我一下吗？我可以给你微信的地址。,6
亲爱的，我很需要你的帮助。我的美容店需要交房租，能不能借我5000元？我会及时还你。谢谢！,6
你好！你下载的XFBA软件是一种骗局。我们需要你提供更多信息来完成激活任务。请尽快完成下一笔任务，并将款项转入指定账户。谢谢！,6
你好！我是你的好友小明。最近我遇到了一些紧急情况，需要借点钱。能否帮我一下？我会尽快还给你。谢谢！,6
亲爱的朋友，很高兴认识你！我想邀请你一起参加我们的线下活动，需要你下载一个APP并注册账号。完成一些任务后，你就可以和我见面了。期待你的回复！,6
你好，我是你在网游中遇到的陪玩。之前我们一起陪玩过，我想找你帮个忙。你可以在淘宝上搜索一下月饼，然后帮我下单不付款，只要把订单信息发给我就可以了。我会立即退还给你。另外，我需要你再帮我操作一次，你可以打开这个支付码，然后点付款即可。非常感谢！,6
你好，我是你的约炮对象。我们可以一起约会，但你需要先下载一个约炮软件并完成充值任务。这样我们才能更好地交流和约会。请相信我，我会让你开心的。,6
亲爱的，这个微信号是我的真实身份验证码，请务必留存。很高兴认识你，希望我们能有更深入的交流。最近我遇到一些紧急的财务问题，需要借一些钱来解决。如果你能提供一些帮助，我会非常感激。,6
亲爱的朋友，最近我遇到了一些困难，需要借用一些钱来解决。如果你能帮助我，我会很感激。可以考虑开通支付宝自动扣款功能，每月定期扣除一部分金额到我的账户上。我会及时还款，谢谢！,6
您好！我是您的会员服务专员。由于您的违规操作，我们需要您及时转账以恢复会员资格。请尽快将款项转入指定账户以避免账户被冻结。如有疑问，请及时与我们联系。谢谢合作！,6
你好！我是你的网友，听说你对炒期货感兴趣？我可以给你提供一些专业的指导和建议，你可以在我的指导下进行炒期货操作。只需下载一款名为XXX的APP，你就可以开始操作了。记得提前充值资金，以便进行交易。祝你好运！,6
亲爱的，很高兴认识你！我是游戏中的一位玩家，想邀请你一起玩游戏，送你游戏内的车辆皮肤。请添加我的QQ好友，进入游戏后我会教你如何解锁。快来加入我们吧！,6
亲爱的李先生，我最近遇到了点小麻烦，需要你帮我一下。我妈妈生病了，需要进行手术，需要花费一些钱。我的银行卡刚刚被盗了，无法取出钱来。我想借你一些钱，等我妈妈恢复健康后，我一定会偿还给你。请考虑一下，谢谢！,6
亲爱的用户，您好！我们是爱夜APP的客服。我们非常高兴地发现您对我们的APP感兴趣！为了更好地为您提供服务，我们需要您注册会员。只需支付38元，您即可享受我们的服务。请随时与我们联系，我们将为您提供最好的体验！,6
你好！我是珍爱网上的网友，我想和你交友。我们可以在微信上聊天。你可以下载畅聊AW APP，注册账户后把二维码发给我。我会在APP上添加你为好友。希望我们可以成为好朋友！,6
您好！欢迎加入我们的平台！为了激活您的账户，请充值800元。我们将为您提供更好的服务体验。请点击链接下载APP，输入激活码即可使用。祝您愉快！,6
您好！我是军队即将退伍的干部，想找一个伴侣。我在微信上添加了你的好友，并邀请你下载思语app进行聊天。我们在思语上聊了很久，我感觉我们很合适。后来，我推荐了一个投资网站给你，希望你能在上面投资。希望你能相信我，并和我一起创造美好的未来！,6
你好！我们是夜欢同城聊天交友软件客服。为了帮助你更好地使用我们的服务，我们需要你完成一个投票任务。请你将垫付的资金转账到指定账户，以便我们为你匹配同城好友。投票完成后，我们会及时退还所有垫付资金。请你尽快完成任务。谢谢！,6
尊敬的用户，您好！我是红袖社区的软件专员。感谢您下载并注册我们的APP。为了保护您的隐私，我们需要您认证VIP账户。请您将指定金额的款项转入指定账户，我们将返还您更多的资金。请您放心，我们将为您提供最好的服务！,6
